Group1: strain_1|MBOGGBJL_00270 strain_1|MBOGGBJL_00480 strain_1|MBOGGBJL_03108 strain_1|MBOGGBJL_03641 strain_1|MBOGGBJL_01180 strain_1|MBOGGBJL_00408 strain_1|MBOGGBJL_03801 strain_1|MBOGGBJL_03173 strain_1|MBOGGBJL_03052 strain_1|MBOGGBJL_00467 strain_1|MBOGGBJL_02937 strain_1|MBOGGBJL_01854 strain_1|MBOGGBJL_00657 strain_1|MBOGGBJL_01998 strain_1|MBOGGBJL_03527 strain_1|MBOGGBJL_03715 strain_1|MBOGGBJL_01980 strain_1|MBOGGBJL_03528 strain_1|MBOGGBJL_01997 strain_1|MBOGGBJL_02828
Group2: strain_1|MBOGGBJL_00606 strain_1|MBOGGBJL_02577 strain_2|NIKFMFAN_03928 strain_2|NIKFMFAN_04079
Group3: strain_1|MBOGGBJL_03996 strain_1|MBOGGBJL_04008 strain_1|MBOGGBJL_04007 strain_2|NIKFMFAN_04061
Group4: strain_2|NIKFMFAN_02317 strain_2|NIKFMFAN_02336 strain_1|MBOGGBJL_03521
Group5: strain_2|NIKFMFAN_03620 strain_2|NIKFMFAN_04136 strain_1|MBOGGBJL_01329
Group6: strain_2|NIKFMFAN_03936 strain_2|NIKFMFAN_04016 strain_1|MBOGGBJL_00598
Group7: strain_1|MBOGGBJL_00576 strain_1|MBOGGBJL_02556 strain_2|NIKFMFAN_02850
Group8: strain_1|MBOGGBJL_00578 strain_1|MBOGGBJL_02558 strain_2|NIKFMFAN_02851
Group9: strain_1|MBOGGBJL_00579 strain_1|MBOGGBJL_02559 strain_2|NIKFMFAN_02852
Group10: strain_1|MBOGGBJL_00586 strain_1|MBOGGBJL_02562 strain_2|NIKFMFAN_02855
Group11: strain_1|MBOGGBJL_00588 strain_1|MBOGGBJL_02565 strain_2|NIKFMFAN_02857
Group12: strain_1|MBOGGBJL_01413 strain_1|MBOGGBJL_01414 strain_2|NIKFMFAN_01580
Group13: strain_1|MBOGGBJL_01893 strain_1|MBOGGBJL_01894 strain_2|NIKFMFAN_03248
Group14: strain_1|MBOGGBJL_02830 strain_1|MBOGGBJL_02833 strain_2|NIKFMFAN_04118
Group15: strain_1|MBOGGBJL_04010 strain_1|MBOGGBJL_04011 strain_2|NIKFMFAN_04058
Group16: strain_1|MBOGGBJL_00611 strain_1|MBOGGBJL_02582 strain_2|NIKFMFAN_04033
Group17: strain_1|MBOGGBJL_00407 strain_2|NIKFMFAN_01223 strain_1|MBOGGBJL_00409
Group18: strain_1|MBOGGBJL_02849 strain_2|NIKFMFAN_02989 strain_2|NIKFMFAN_02988
Group19: strain_2|NIKFMFAN_03939 strain_2|NIKFMFAN_04018
Group946: strain_1|MBOGGBJL_00979 strain_2|NIKFMFAN_00914
Group947: strain_1|MBOGGBJL_00980 strain_2|NIKFMFAN_00915
Group948: strain_1|MBOGGBJL_00981 strain_2|NIKFMFAN_01400
Group949: strain_1|MBOGGBJL_00982 strain_2|NIKFMFAN_02129
Group950: strain_1|MBOGGBJL_00983 strain_2|NIKFMFAN_02130
Group951: strain_1|MBOGGBJL_00984 strain_2|NIKFMFAN_02131
Group952: strain_1|MBOGGBJL_00985 strain_2|NIKFMFAN_02132
Group953: strain_1|MBOGGBJL_00986 strain_2|NIKFMFAN_02133
Group954: strain_1|MBOGGBJL_00987 strain_2|NIKFMFAN_02134
Group955: strain_1|MBOGGBJL_00988 strain_2|NIKFMFAN_02135
Group956: strain_1|MBOGGBJL_00989 strain_2|NIKFMFAN_02136
Group957: strain_1|MBOGGBJL_00990 strain_2|NIKFMFAN_02137
Group958: strain_1|MBOGGBJL_00991 strain_2|NIKFMFAN_02138
Group959: strain_1|MBOGGBJL_00992 strain_2|NIKFMFAN_02139
Group960: strain_1|MBOGGBJL_00993 strain_2|NIKFMFAN_02140
Group961: strain_1|MBOGGBJL_00994 strain_2|NIKFMFAN_02141
Group962: strain_1|MBOGGBJL_00995 strain_2|NIKFMFAN_02142
Group963: strain_1|MBOGGBJL_00996 strain_2|NIKFMFAN_02143
Group964: strain_1|MBOGGBJL_00997 strain_2|NIKFMFAN_02144
Group965: strain_1|MBOGGBJL_00998 strain_2|NIKFMFAN_02145
Group966: strain_1|MBOGGBJL_00999 strain_2|NIKFMFAN_02146
Group967: strain_1|MBOGGBJL_01000 strain_2|NIKFMFAN_02147
Group968: strain_1|MBOGGBJL_01001 strain_2|NIKFMFAN_02148
Group969: strain_1|MBOGGBJL_01002 strain_2|NIKFMFAN_02149
Group970: strain_1|MBOGGBJL_01003 strain_2|NIKFMFAN_02150
Group971: strain_1|MBOGGBJL_01004 strain_2|NIKFMFAN_02151
Group972: strain_1|MBOGGBJL_01005 strain_2|NIKFMFAN_02152
Group973: strain_1|MBOGGBJL_01006 strain_2|NIKFMFAN_02153
Group974: strain_1|MBOGGBJL_01007 strain_2|NIKFMFAN_02154
Group975: strain_1|MBOGGBJL_01008 strain_2|NIKFMFAN_02155
Group976: strain_1|MBOGGBJL_01009 strain_2|NIKFMFAN_02156
Group977: strain_1|MBOGGBJL_01010 strain_2|NIKFMFAN_02157
Group978: strain_1|MBOGGBJL_01011 strain_2|NIKFMFAN_02158
Group979: strain_1|MBOGGBJL_01012 strain_2|NIKFMFAN_02159
Group980: strain_1|MBOGGBJL_01013 strain_2|NIKFMFAN_02160
Group981: strain_1|MBOGGBJL_01014 strain_2|NIKFMFAN_02161
Group982: strain_1|MBOGGBJL_01015 strain_2|NIKFMFAN_02162
Group983: strain_1|MBOGGBJL_01016 strain_2|NIKFMFAN_02163
Group984: strain_1|MBOGGBJL_01017 strain_2|NIKFMFAN_02164
Group985: strain_1|MBOGGBJL_01018 strain_2|NIKFMFAN_02165
Group986: strain_1|MBOGGBJL_01019 strain_2|NIKFMFAN_02166
Group987: strain_1|MBOGGBJL_01020 strain_2|NIKFMFAN_02167
Group988: strain_1|MBOGGBJL_01021 strain_2|NIKFMFAN_02168
Group989: strain_1|MBOGGBJL_01022 strain_2|NIKFMFAN_02169
Group990: strain_1|MBOGGBJL_01023 strain_2|NIKFMFAN_02170
Group991: strain_1|MBOGGBJL_01024 strain_2|NIKFMFAN_02171
Group992: strain_1|MBOGGBJL_01025 strain_2|NIKFMFAN_02172
Group993: strain_1|MBOGGBJL_01026 strain_2|NIKFMFAN_02173
Group994: strain_1|MBOGGBJL_01027 strain_2|NIKFMFAN_02174
Group995: strain_1|MBOGGBJL_01028 strain_2|NIKFMFAN_02175
Group996: strain_1|MBOGGBJL_01029 strain_2|NIKFMFAN_02176
Group997: strain_1|MBOGGBJL_01030 strain_2|NIKFMFAN_02177
Group998: strain_1|MBOGGBJL_01031 strain_2|NIKFMFAN_02178
Group999: strain_1|MBOGGBJL_01032 strain_2|NIKFMFAN_02179
Group1000: strain_1|MBOGGBJL_01033 strain_2|NIKFMFAN_02180
Group1001: strain_1|MBOGGBJL_01034 strain_2|NIKFMFAN_02181
Group1002: strain_1|MBOGGBJL_01035 strain_2|NIKFMFAN_02182
Group1003: strain_1|MBOGGBJL_01036 strain_2|NIKFMFAN_02183
Group1004: strain_1|MBOGGBJL_01037 strain_2|NIKFMFAN_02184
Group1005: strain_1|MBOGGBJL_01038 strain_2|NIKFMFAN_02185
Group1006: strain_1|MBOGGBJL_01039 strain_2|NIKFMFAN_02186
Group1007: strain_1|MBOGGBJL_01040 strain_2|NIKFMFAN_02187
Group1008: strain_1|MBOGGBJL_01041 strain_2|NIKFMFAN_02188
Group1009: strain_1|MBOGGBJL_01042 strain_2|NIKFMFAN_02189
Group1010: strain_1|MBOGGBJL_01043 strain_2|NIKFMFAN_02190
Group1011: strain_1|MBOGGBJL_01044 strain_2|NIKFMFAN_02191
Group1012: strain_1|MBOGGBJL_01045 strain_2|NIKFMFAN_02192
Group1013: strain_1|MBOGGBJL_01046 strain_2|NIKFMFAN_02193
Group1014: strain_1|MBOGGBJL_01047 strain_2|NIKFMFAN_02194
Group1015: strain_1|MBOGGBJL_01048 strain_2|NIKFMFAN_02195
Group1016: strain_1|MBOGGBJL_01049 strain_2|NIKFMFAN_02196
Group1017: strain_1|MBOGGBJL_01050 strain_2|NIKFMFAN_02197
Group1018: strain_1|MBOGGBJL_01051 strain_2|NIKFMFAN_02198
Group1019: strain_1|MBOGGBJL_01052 strain_2|NIKFMFAN_02199
Group1020: strain_1|MBOGGBJL_01053 strain_2|NIKFMFAN_02200
Group1021: strain_1|MBOGGBJL_01054 strain_2|NIKFMFAN_02201
Group1022: strain_1|MBOGGBJL_01055 strain_2|NIKFMFAN_02202
Group1023: strain_1|MBOGGBJL_01056 strain_2|NIKFMFAN_02203
Group1024: strain_1|MBOGGBJL_01057 strain_2|NIKFMFAN_02204
Group1025: strain_1|MBOGGBJL_01058 strain_2|NIKFMFAN_02205
Group1026: strain_1|MBOGGBJL_01059 strain_2|NIKFMFAN_02206
Group1027: strain_1|MBOGGBJL_01060 strain_2|NIKFMFAN_02207
Group1028: strain_1|MBOGGBJL_01061 strain_2|NIKFMFAN_02208
Group1029: strain_1|MBOGGBJL_01062 strain_2|NIKFMFAN_02209
Group1030: strain_1|MBOGGBJL_01063 strain_2|NIKFMFAN_02210
Group1031: strain_1|MBOGGBJL_01064 strain_2|NIKFMFAN_02211
Group1032: strain_1|MBOGGBJL_01065 strain_2|NIKFMFAN_02212
Group1033: strain_1|MBOGGBJL_01067 strain_2|NIKFMFAN_02214
Group1034: strain_1|MBOGGBJL_01068 strain_2|NIKFMFAN_02215
Group1035: strain_1|MBOGGBJL_01069 strain_2|NIKFMFAN_02636
Group1036: strain_1|MBOGGBJL_01070 strain_2|NIKFMFAN_02635
Group1037: strain_1|MBOGGBJL_01071 strain_2|NIKFMFAN_02634
Group1038: strain_1|MBOGGBJL_01072 strain_2|NIKFMFAN_02633
Group1039: strain_1|MBOGGBJL_01073 strain_2|NIKFMFAN_02632
Group1040: strain_1|MBOGGBJL_01074 strain_2|NIKFMFAN_02631
Group1041: strain_1|MBOGGBJL_01075 strain_2|NIKFMFAN_02630
Group1042: strain_1|MBOGGBJL_01076 strain_2|NIKFMFAN_02629
Group1043: strain_1|MBOGGBJL_01077 strain_2|NIKFMFAN_02628
Group1044: strain_1|MBOGGBJL_01078 strain_2|NIKFMFAN_02627
Group1045: strain_1|MBOGGBJL_01079 strain_2|NIKFMFAN_02626
Group1046: strain_1|MBOGGBJL_01080 strain_2|NIKFMFAN_02625
Group1047: strain_1|MBOGGBJL_01081 strain_2|NIKFMFAN_02624
Group1048: strain_1|MBOGGBJL_01082 strain_2|NIKFMFAN_02623
Group1049: strain_1|MBOGGBJL_01084 strain_2|NIKFMFAN_02613
Group1050: strain_1|MBOGGBJL_01085 strain_2|NIKFMFAN_02612
Group1051: strain_1|MBOGGBJL_01086 strain_2|NIKFMFAN_02611
Group1052: strain_1|MBOGGBJL_01087 strain_2|NIKFMFAN_02610
Group1053: strain_1|MBOGGBJL_01088 strain_2|NIKFMFAN_02609
Group1054: strain_1|MBOGGBJL_01089 strain_2|NIKFMFAN_02608
Group1055: strain_1|MBOGGBJL_01090 strain_2|NIKFMFAN_02607
Group1056: strain_1|MBOGGBJL_01091 strain_2|NIKFMFAN_02606
Group1057: strain_1|MBOGGBJL_01092 strain_2|NIKFMFAN_02605
Group1058: strain_1|MBOGGBJL_01093 strain_2|NIKFMFAN_02604
Group1059: strain_1|MBOGGBJL_01094 strain_2|NIKFMFAN_02603
Group1060: strain_1|MBOGGBJL_01095 strain_2|NIKFMFAN_02602
Group1061: strain_1|MBOGGBJL_01096 strain_2|NIKFMFAN_02601
Group1062: strain_1|MBOGGBJL_01097 strain_2|NIKFMFAN_02600
Group1063: strain_1|MBOGGBJL_01098 strain_2|NIKFMFAN_02599
Group1064: strain_1|MBOGGBJL_01099 strain_2|NIKFMFAN_02598
Group1065: strain_1|MBOGGBJL_01100 strain_2|NIKFMFAN_02597
Group1066: strain_1|MBOGGBJL_01101 strain_2|NIKFMFAN_02596
Group1067: strain_1|MBOGGBJL_01102 strain_2|NIKFMFAN_02595
Group1068: strain_1|MBOGGBJL_01103 strain_2|NIKFMFAN_02594
Group1069: strain_1|MBOGGBJL_01104 strain_2|NIKFMFAN_02593
Group1070: strain_1|MBOGGBJL_01105 strain_2|NIKFMFAN_02592
Group1071: strain_1|MBOGGBJL_01106 strain_2|NIKFMFAN_02591
Group1072: strain_1|MBOGGBJL_01107 strain_2|NIKFMFAN_02590
Group1073: strain_1|MBOGGBJL_01108 strain_2|NIKFMFAN_02589
Group1074: strain_1|MBOGGBJL_01109 strain_2|NIKFMFAN_02588
Group1075: strain_1|MBOGGBJL_01110 strain_2|NIKFMFAN_02587
Group1076: strain_1|MBOGGBJL_01111 strain_2|NIKFMFAN_02586
Group1077: strain_1|MBOGGBJL_01112 strain_2|NIKFMFAN_02585
Group1078: strain_1|MBOGGBJL_01113 strain_2|NIKFMFAN_02584
Group1079: strain_1|MBOGGBJL_01114 strain_2|NIKFMFAN_02583
Group1080: strain_1|MBOGGBJL_01115 strain_2|NIKFMFAN_02582
Group1081: strain_1|MBOGGBJL_01116 strain_2|NIKFMFAN_02581
Group1082: strain_1|MBOGGBJL_01117 strain_2|NIKFMFAN_02580
Group1083: strain_1|MBOGGBJL_01118 strain_2|NIKFMFAN_02578
Group1084: strain_1|MBOGGBJL_01119 strain_2|NIKFMFAN_02577
Group1085: strain_1|MBOGGBJL_01120 strain_2|NIKFMFAN_02576
Group1086: strain_1|MBOGGBJL_01121 strain_2|NIKFMFAN_02575
Group1087: strain_1|MBOGGBJL_01122 strain_2|NIKFMFAN_02574
Group1088: strain_1|MBOGGBJL_01123 strain_2|NIKFMFAN_02572
Group1089: strain_1|MBOGGBJL_01124 strain_2|NIKFMFAN_02571
Group1090: strain_1|MBOGGBJL_01125 strain_2|NIKFMFAN_02570
Group1091: strain_1|MBOGGBJL_01126 strain_2|NIKFMFAN_02569
Group1092: strain_1|MBOGGBJL_01127 strain_2|NIKFMFAN_02568
Group1093: strain_1|MBOGGBJL_01128 strain_2|NIKFMFAN_02567
Group1094: strain_1|MBOGGBJL_01129 strain_2|NIKFMFAN_02566
Group1095: strain_1|MBOGGBJL_01130 strain_2|NIKFMFAN_02565
Group1096: strain_1|MBOGGBJL_01131 strain_2|NIKFMFAN_02564
Group1097: strain_1|MBOGGBJL_01132 strain_2|NIKFMFAN_02563
Group1098: strain_1|MBOGGBJL_01133 strain_2|NIKFMFAN_02561
Group1099: strain_1|MBOGGBJL_01134 strain_2|NIKFMFAN_02560
Group1100: strain_1|MBOGGBJL_01135 strain_2|NIKFMFAN_02559
Group1101: strain_1|MBOGGBJL_01136 strain_2|NIKFMFAN_02558
Group1102: strain_1|MBOGGBJL_01137 strain_2|NIKFMFAN_02557
Group1103: strain_1|MBOGGBJL_01138 strain_2|NIKFMFAN_02556
Group1104: strain_1|MBOGGBJL_01139 strain_2|NIKFMFAN_02555
Group1105: strain_1|MBOGGBJL_01140 strain_2|NIKFMFAN_02554
Group1106: strain_1|MBOGGBJL_01141 strain_2|NIKFMFAN_02553
Group1107: strain_1|MBOGGBJL_01142 strain_2|NIKFMFAN_02552
Group1108: strain_1|MBOGGBJL_01143 strain_2|NIKFMFAN_02551
Group1109: strain_1|MBOGGBJL_01144 strain_2|NIKFMFAN_02550
Group1110: strain_1|MBOGGBJL_01145 strain_2|NIKFMFAN_02549
Group1111: strain_1|MBOGGBJL_01146 strain_2|NIKFMFAN_02548
Group1112: strain_1|MBOGGBJL_01147 strain_2|NIKFMFAN_02547
Group1113: strain_1|MBOGGBJL_01148 strain_2|NIKFMFAN_02546
Group1114: strain_1|MBOGGBJL_01149 strain_2|NIKFMFAN_02545
Group1115: strain_1|MBOGGBJL_01150 strain_2|NIKFMFAN_02544
Group1116: strain_1|MBOGGBJL_01151 strain_2|NIKFMFAN_02543
Group1117: strain_1|MBOGGBJL_01152 strain_2|NIKFMFAN_02542
Group1118: strain_1|MBOGGBJL_01153 strain_2|NIKFMFAN_02541
Group1119: strain_1|MBOGGBJL_01154 strain_2|NIKFMFAN_02540
Group1120: strain_1|MBOGGBJL_01155 strain_2|NIKFMFAN_02539
Group1121: strain_1|MBOGGBJL_01156 strain_2|NIKFMFAN_02538
Group1122: strain_1|MBOGGBJL_01157 strain_2|NIKFMFAN_02537
Group1123: strain_1|MBOGGBJL_01158 strain_2|NIKFMFAN_02536
Group1124: strain_1|MBOGGBJL_01159 strain_2|NIKFMFAN_02535
Group1125: strain_1|MBOGGBJL_01160 strain_2|NIKFMFAN_02534
Group1126: strain_1|MBOGGBJL_01161 strain_2|NIKFMFAN_02533
Group1127: strain_1|MBOGGBJL_01162 strain_2|NIKFMFAN_02532
Group1128: strain_1|MBOGGBJL_01163 strain_2|NIKFMFAN_02531
Group1129: strain_1|MBOGGBJL_01164 strain_2|NIKFMFAN_02530
Group1130: strain_1|MBOGGBJL_01165 strain_2|NIKFMFAN_02529
Group1131: strain_1|MBOGGBJL_01166 strain_2|NIKFMFAN_02528
Group1132: strain_1|MBOGGBJL_01167 strain_2|NIKFMFAN_02527
Group1133: strain_1|MBOGGBJL_01168 strain_2|NIKFMFAN_02526
Group1134: strain_1|MBOGGBJL_01169 strain_2|NIKFMFAN_02525
Group1135: strain_1|MBOGGBJL_01170 strain_2|NIKFMFAN_02524
Group1136: strain_1|MBOGGBJL_01172 strain_2|NIKFMFAN_02522
Group1137: strain_1|MBOGGBJL_01174 strain_2|NIKFMFAN_02520
Group1138: strain_1|MBOGGBJL_01175 strain_2|NIKFMFAN_02519
Group1139: strain_1|MBOGGBJL_01176 strain_2|NIKFMFAN_02518
Group1140: strain_1|MBOGGBJL_01177 strain_2|NIKFMFAN_02517
Group1141: strain_1|MBOGGBJL_01178 strain_2|NIKFMFAN_02516
Group1142: strain_1|MBOGGBJL_01179 strain_2|NIKFMFAN_02515
Group1143: strain_1|MBOGGBJL_01181 strain_2|NIKFMFAN_04047
Group1144: strain_1|MBOGGBJL_01182 strain_2|NIKFMFAN_04048
Group1145: strain_1|MBOGGBJL_01183 strain_2|NIKFMFAN_04049
Group1146: strain_1|MBOGGBJL_01184 strain_2|NIKFMFAN_04050
Group1147: strain_1|MBOGGBJL_01185 strain_2|NIKFMFAN_04051
Group1148: strain_1|MBOGGBJL_01186 strain_2|NIKFMFAN_04052
Group1149: strain_1|MBOGGBJL_01187 strain_2|NIKFMFAN_02638
Group1150: strain_1|MBOGGBJL_01188 strain_2|NIKFMFAN_02641
Group1151: strain_1|MBOGGBJL_01189 strain_2|NIKFMFAN_02642
Group1152: strain_1|MBOGGBJL_01190 strain_2|NIKFMFAN_02643
Group1153: strain_1|MBOGGBJL_01191 strain_2|NIKFMFAN_02644
Group1154: strain_1|MBOGGBJL_01192 strain_2|NIKFMFAN_02645
Group1155: strain_1|MBOGGBJL_01193 strain_2|NIKFMFAN_02646
Group1156: strain_1|MBOGGBJL_01194 strain_2|NIKFMFAN_02647
Group1157: strain_1|MBOGGBJL_01195 strain_2|NIKFMFAN_02648
Group1158: strain_1|MBOGGBJL_01196 strain_2|NIKFMFAN_02649
Group1159: strain_1|MBOGGBJL_01197 strain_2|NIKFMFAN_02650
Group1160: strain_1|MBOGGBJL_01198 strain_2|NIKFMFAN_02651
Group1161: strain_1|MBOGGBJL_01199 strain_2|NIKFMFAN_02652
Group1162: strain_1|MBOGGBJL_01200 strain_2|NIKFMFAN_02653
Group1163: strain_1|MBOGGBJL_01201 strain_2|NIKFMFAN_02654
Group1164: strain_1|MBOGGBJL_01202 strain_2|NIKFMFAN_02655
Group1165: strain_1|MBOGGBJL_01203 strain_2|NIKFMFAN_02656
Group1166: strain_1|MBOGGBJL_01204 strain_2|NIKFMFAN_02657
Group1167: strain_1|MBOGGBJL_01205 strain_2|NIKFMFAN_02658
Group1168: strain_1|MBOGGBJL_01206 strain_2|NIKFMFAN_02659
Group1169: strain_1|MBOGGBJL_01207 strain_2|NIKFMFAN_02660
Group1170: strain_1|MBOGGBJL_01208 strain_2|NIKFMFAN_02661
Group1171: strain_1|MBOGGBJL_01209 strain_2|NIKFMFAN_02662
Group1172: strain_1|MBOGGBJL_01211 strain_2|NIKFMFAN_02664
Group1173: strain_1|MBOGGBJL_01212 strain_2|NIKFMFAN_02665
Group1174: strain_1|MBOGGBJL_01213 strain_2|NIKFMFAN_02666
Group1175: strain_1|MBOGGBJL_01214 strain_2|NIKFMFAN_02667
Group1176: strain_1|MBOGGBJL_01215 strain_2|NIKFMFAN_02668
Group1177: strain_1|MBOGGBJL_01216 strain_2|NIKFMFAN_02669
Group1178: strain_1|MBOGGBJL_01217 strain_2|NIKFMFAN_02670
Group1179: strain_1|MBOGGBJL_01218 strain_2|NIKFMFAN_02671
Group1180: strain_1|MBOGGBJL_01219 strain_2|NIKFMFAN_02672
Group1181: strain_1|MBOGGBJL_01220 strain_2|NIKFMFAN_02673
Group1182: strain_1|MBOGGBJL_01221 strain_2|NIKFMFAN_02674
Group1183: strain_1|MBOGGBJL_01222 strain_2|NIKFMFAN_02675
Group1184: strain_1|MBOGGBJL_01223 strain_2|NIKFMFAN_02676
Group1185: strain_1|MBOGGBJL_01224 strain_2|NIKFMFAN_02677
Group1186: strain_1|MBOGGBJL_01225 strain_2|NIKFMFAN_02678
Group1187: strain_1|MBOGGBJL_01226 strain_2|NIKFMFAN_02679
Group1188: strain_1|MBOGGBJL_01227 strain_2|NIKFMFAN_02680
Group1189: strain_1|MBOGGBJL_01228 strain_2|NIKFMFAN_02681
Group1190: strain_1|MBOGGBJL_01229 strain_2|NIKFMFAN_02682
Group1191: strain_1|MBOGGBJL_01230 strain_2|NIKFMFAN_02683
Group1192: strain_1|MBOGGBJL_01231 strain_2|NIKFMFAN_02684
Group1193: strain_1|MBOGGBJL_01232 strain_2|NIKFMFAN_02685
Group1194: strain_1|MBOGGBJL_01233 strain_2|NIKFMFAN_02686
Group1195: strain_1|MBOGGBJL_01234 strain_2|NIKFMFAN_02687
Group1196: strain_1|MBOGGBJL_01235 strain_2|NIKFMFAN_02688
Group1197: strain_1|MBOGGBJL_01236 strain_2|NIKFMFAN_02689
Group1198: strain_1|MBOGGBJL_01237 strain_2|NIKFMFAN_02690
Group1199: strain_1|MBOGGBJL_01238 strain_2|NIKFMFAN_02691
Group1200: strain_1|MBOGGBJL_01239 strain_2|NIKFMFAN_02692
Group1201: strain_1|MBOGGBJL_01240 strain_2|NIKFMFAN_02693
Group1202: strain_1|MBOGGBJL_01241 strain_2|NIKFMFAN_02694
Group1203: strain_1|MBOGGBJL_01242 strain_2|NIKFMFAN_02695
Group1204: strain_1|MBOGGBJL_01243 strain_2|NIKFMFAN_02696
Group1205: strain_1|MBOGGBJL_01244 strain_2|NIKFMFAN_02697
Group1206: strain_1|MBOGGBJL_01245 strain_2|NIKFMFAN_02698
Group1207: strain_1|MBOGGBJL_01246 strain_2|NIKFMFAN_02699
Group1208: strain_1|MBOGGBJL_01247 strain_2|NIKFMFAN_02700
Group1209: strain_1|MBOGGBJL_01248 strain_2|NIKFMFAN_02701
Group1210: strain_1|MBOGGBJL_01249 strain_2|NIKFMFAN_02702
Group1211: strain_1|MBOGGBJL_01250 strain_2|NIKFMFAN_02703
Group1212: strain_1|MBOGGBJL_01251 strain_2|NIKFMFAN_02704
Group1213: strain_1|MBOGGBJL_01252 strain_2|NIKFMFAN_02705
Group1214: strain_1|MBOGGBJL_01253 strain_2|NIKFMFAN_02706
Group1215: strain_1|MBOGGBJL_01254 strain_2|NIKFMFAN_02707
Group1216: strain_1|MBOGGBJL_01255 strain_2|NIKFMFAN_02708
Group1217: strain_1|MBOGGBJL_01256 strain_2|NIKFMFAN_02709
Group1218: strain_1|MBOGGBJL_01257 strain_2|NIKFMFAN_02710
Group1219: strain_1|MBOGGBJL_01258 strain_2|NIKFMFAN_02711
Group1220: strain_1|MBOGGBJL_01259 strain_2|NIKFMFAN_02712
Group1221: strain_1|MBOGGBJL_01260 strain_2|NIKFMFAN_02713
Group1222: strain_1|MBOGGBJL_01261 strain_2|NIKFMFAN_02714
Group1223: strain_1|MBOGGBJL_01262 strain_2|NIKFMFAN_02715
Group1224: strain_1|MBOGGBJL_01263 strain_2|NIKFMFAN_02716
Group1225: strain_1|MBOGGBJL_01264 strain_2|NIKFMFAN_02717
Group1226: strain_1|MBOGGBJL_01265 strain_2|NIKFMFAN_02718
Group1227: strain_1|MBOGGBJL_01266 strain_2|NIKFMFAN_02719
Group1228: strain_1|MBOGGBJL_01267 strain_2|NIKFMFAN_02720
Group1229: strain_1|MBOGGBJL_01268 strain_2|NIKFMFAN_02721
Group1230: strain_1|MBOGGBJL_01269 strain_2|NIKFMFAN_02722
Group1231: strain_1|MBOGGBJL_01270 strain_2|NIKFMFAN_02723
Group1232: strain_1|MBOGGBJL_01271 strain_2|NIKFMFAN_02724
Group1233: strain_1|MBOGGBJL_01272 strain_2|NIKFMFAN_02725
Group1234: strain_1|MBOGGBJL_01273 strain_2|NIKFMFAN_02726
Group1235: strain_1|MBOGGBJL_01274 strain_2|NIKFMFAN_02727
Group1236: strain_1|MBOGGBJL_01275 strain_2|NIKFMFAN_02728
Group1237: strain_1|MBOGGBJL_01276 strain_2|NIKFMFAN_02729
Group1238: strain_1|MBOGGBJL_01277 strain_2|NIKFMFAN_02730
Group1239: strain_1|MBOGGBJL_01278 strain_2|NIKFMFAN_02731
Group1240: strain_1|MBOGGBJL_01279 strain_2|NIKFMFAN_02732
Group1241: strain_1|MBOGGBJL_01280 strain_2|NIKFMFAN_02733
Group1242: strain_1|MBOGGBJL_01281 strain_2|NIKFMFAN_02734
Group1243: strain_1|MBOGGBJL_01282 strain_2|NIKFMFAN_02735
Group1244: strain_1|MBOGGBJL_01283 strain_2|NIKFMFAN_02736
Group1245: strain_1|MBOGGBJL_01284 strain_2|NIKFMFAN_02737
Group1246: strain_1|MBOGGBJL_01285 strain_2|NIKFMFAN_02738
Group1247: strain_1|MBOGGBJL_01286 strain_2|NIKFMFAN_02739
Group1248: strain_1|MBOGGBJL_01287 strain_2|NIKFMFAN_02740
Group1249: strain_1|MBOGGBJL_01288 strain_2|NIKFMFAN_02741
Group1250: strain_1|MBOGGBJL_01289 strain_2|NIKFMFAN_03665
Group1251: strain_1|MBOGGBJL_01290 strain_2|NIKFMFAN_03664
Group1252: strain_1|MBOGGBJL_01291 strain_2|NIKFMFAN_03663
Group1253: strain_1|MBOGGBJL_01292 strain_2|NIKFMFAN_03662
Group1254: strain_1|MBOGGBJL_01293 strain_2|NIKFMFAN_03661
Group1255: strain_1|MBOGGBJL_01294 strain_2|NIKFMFAN_03660
Group1256: strain_1|MBOGGBJL_01295 strain_2|NIKFMFAN_03659
Group1257: strain_1|MBOGGBJL_01296 strain_2|NIKFMFAN_03658
Group1258: strain_1|MBOGGBJL_01297 strain_2|NIKFMFAN_03652
Group1259: strain_1|MBOGGBJL_01298 strain_2|NIKFMFAN_03651
Group1260: strain_1|MBOGGBJL_01299 strain_2|NIKFMFAN_03650
Group1261: strain_1|MBOGGBJL_01300 strain_2|NIKFMFAN_03649
Group1262: strain_1|MBOGGBJL_01301 strain_2|NIKFMFAN_03648
Group1263: strain_1|MBOGGBJL_01302 strain_2|NIKFMFAN_03647
Group1264: strain_1|MBOGGBJL_01303 strain_2|NIKFMFAN_03646
Group1265: strain_1|MBOGGBJL_01304 strain_2|NIKFMFAN_03645
Group1266: strain_1|MBOGGBJL_01305 strain_2|NIKFMFAN_03644
Group1267: strain_1|MBOGGBJL_01306 strain_2|NIKFMFAN_03643
Group1268: strain_1|MBOGGBJL_01307 strain_2|NIKFMFAN_03642
Group1269: strain_1|MBOGGBJL_01308 strain_2|NIKFMFAN_03641
Group1270: strain_1|MBOGGBJL_01309 strain_2|NIKFMFAN_03640
